date,ticker,bench,close,ma,stop,rs_diff,rs_rank,strength
2024-12-12,SIX2.DE,^GDAXI,69.964,66.4425,64.4235,7.41,52.0,0
2025-01-03,NVDA,SPY,144.2545,118.1973,126.5893,5.1,55.0,0
2025-01-03,MLB1.DE,^GDAXI,1783.0,1663.7995,1584.9473,-3.98,37.0,0
2025-01-03,CEG,SPY,249.8849,213.7792,219.3726,-13.14,21.0,0
2025-01-06,IBKR,SPY,47.1695,33.9656,42.9563,23.77,82.0,0
2025-01-09,HAG.DE,^GDAXI,36.9149,34.2136,32.5419,23.69,96.0,0
2025-01-14,DE,SPY,424.1325,386.8838,397.9009,5.69,58.0,0
2025-01-14,GE,SPY,175.3835,167.2743,162.4778,-8.14,30.0,0
2025-01-15,RHM.DE,^GDAXI,646.631,524.9762,596.6795,30.53,85.0,0
2025-01-15,HPE,SPY,22.4773,18.7716,20.0549,9.83,66.0,0
2025-01-15,IESC,SPY,255.57,183.4349,207.1951,9.03,64.0,0
2025-01-15,CSCO,SPY,58.0246,49.0999,55.5648,4.94,57.0,0
2025-01-15,NEM.DE,^GDAXI,96.6656,90.7281,90.5756,-9.56,29.0,0
2025-01-16,EXLS,SPY,47.06,36.5823,43.7758,14.94,71.0,0
2025-01-16,ADN1.DE,^GDAXI,87.8881,82.9714,76.1416,7.48,61.0,0
2025-01-16,RTX,SPY,116.9862,109.0106,110.8662,-5.37,34.0,0
2025-01-16,BWXT,SPY,119.6815,103.8054,110.0339,-5.39,33.0,0
2025-01-16,NOC,SPY,469.401,467.6507,438.1355,-10.51,24.0,0
2025-01-17,RBC,SPY,312.09,289.1584,294.4155,6.27,57.0,0
2025-01-17,MBB.DE,^GDAXI,101.8694,99.6353,93.8457,-0.92,42.0,0
2025-01-20,DUE.DE,^GDAXI,21.2108,20.0578,19.5873,-0.08,56.0,0
2025-01-21,SPY,SPY,592.8997,545.501,568.7703,0.0,44.0,0
2025-01-21,ORCL,SPY,169.654,146.9246,151.3709,-5.05,34.0,0
2025-01-22,KTN.DE,^GDAXI,19.212,17.7537,17.3928,12.6,65.0,0
2025-01-22,APH,SPY,76.977,65.5108,68.0457,8.66,60.0,0
2025-01-22,QQQ,SPY,527.5823,474.8935,501.1535,3.74,50.0,0
2025-01-22,MSFT,SPY,440.1403,418.4277,408.3986,0.02,41.0,0
2025-01-22,BABA,SPY,84.1908,82.0049,78.221,-17.11,16.0,0
2025-01-23,PLTR,SPY,78.98,40.0117,65.944,75.69,95.0,0
2025-01-23,TOST,SPY,40.0,28.9987,35.098,27.58,79.0,0
2025-01-23,META,SPY,633.3197,532.5535,573.3522,6.56,56.0,0
2025-01-27,CRM,SPY,343.1029,280.1705,309.3573,14.75,72.0,0
2025-01-27,MCD,SPY,282.8998,268.4143,265.7531,-4.19,36.0,0
2025-01-27,DUK,SPY,105.9165,100.9492,99.1317,-6.42,33.0,0
2025-01-28,HIMS,SPY,31.54,20.6849,25.2119,37.56,88.0,0
2025-01-28,SZG.DE,^GDAXI,17.562,17.3118,15.494,13.12,68.0,0
2025-01-28,HLT,SPY,252.7304,223.747,238.7359,1.87,50.0,0
2025-01-28,NTNX,SPY,68.33,60.7272,60.9068,0.91,48.0,0
2025-01-30,IBM,SPY,246.7387,189.9471,222.4932,19.16,75.0,0
2025-01-31,ABBV,SPY,175.2199,167.6981,165.4124,-14.55,19.0,0
2025-02-04,ODD,SPY,48.41,40.3209,42.1106,9.66,59.0,0
2025-02-05,CSCO,SPY,60.5301,49.9955,56.6924,6.28,57.0,0
2025-02-10,ASAN,SPY,23.44,15.2313,18.7974,62.79,93.0,0
2025-02-10,LYFT,SPY,15.12,13.9426,12.7527,-20.02,13.0,0
2025-02-14,CRSP,SPY,49.72,49.5241,40.7491,0.79,47.0,0
2025-02-20,U,SPY,28.0,20.0783,21.3379,25.74,83.0,0
2025-02-28,SIX2.DE,^GDAXI,79.1783,65.6895,71.634,7.77,69.0,0
2025-02-28,ODD,SPY,47.62,41.236,38.2878,3.55,60.0,0
2025-02-28,MTX.DE,^GDAXI,327.9867,280.8784,294.3504,-11.24,27.0,0
2025-03-03,AIR.DE,^GDAXI,168.4509,139.7703,153.5866,0.39,51.0,0
2025-03-05,ARQT,SPY,14.78,10.7639,10.5621,20.93,85.0,0
2025-03-07,DE,SPY,490.1693,400.4392,436.5095,17.89,86.0,0
2025-03-07,2GB.DE,^GDAXI,24.4605,22.3134,20.8942,-0.09,51.0,0
2025-03-10,PTGX,SPY,55.95,39.7772,42.0216,45.13,95.0,0
2025-03-13,LUV,SPY,30.2541,28.8327,26.4324,2.78,57.0,0
2025-03-14,QUBT,SPY,7.09,4.2291,4.0985,12.28,73.0,0
2025-03-17,BIDU,SPY,102.27,89.8255,86.1023,21.99,83.0,0
